1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,SalePrice
1252,0.0,3.0,No,0,Unf,1252,528,Unf,1960.0,1252,Gd,10721,80.0,243.0,39,6,6,1252,1959,1959,142000
784,0.0,2.0,No,0,Unf,784,360,Unf,1950.0,784,TA,9000,60.0,0.0,0,3,6,784,1928,1950,76000
1582,0.0,4.0,Av,812,Rec,812,390,Unf,1964.0,1582,TA,36500,69.0,621.0,198,5,5,1624,1964,1964,190000
1005,1286.0,4.0,No,0,Unf,975,429,Fin,1999.0,2291,Gd,8738,66.0,302.0,0,5,7,975,1999,1999,230000
1370,0.0,2.0,Mn,24,GLQ,1346,484,RFn,2006.0,1370,Gd,6442,44.0,178.0,49,5,8,1370,2006,2006,202500
964,925.0,4.0,No,0,Unf,925,308,Unf,1960.0,1889,TA,10120,60.0,0.0,0,4,7,925,1910,1950,122000
1164,0.0,3.0,No,0,Unf,1164,528,Unf,1969.0,1164,TA,9600,80.0,168.0,0,5,7,1164,1969,1969,140000
1320,1320.0,4.0,No,0,Unf,1240,864,Unf,1950.0,2640,Gd,11700,65.0,0.0,0,7,7,1240,1880,2003,265979
1602,0.0,3.0,No,1246,ALQ,356,529,Fin,1977.0,1602,Gd,16635,69.0,126.0,0,7,6,1602,1977,2000,215000
976,732.0,3.0,No,0,Unf,976,380,Unf,2004.0,1708,Gd,3363,32.0,117.0,40,5,7,976,2004,2004,130000
1898,1080.0,5.0,No,0,Unf,710,564,Fin,1961.0,2978,Gd,11275,96.0,300.0,0,7,7,710,1967,2007,242000
1872,0.0,3.0,Av,929,GLQ,916,604,Unf,1988.0,1872,TA,10400,80.0,102.0,39,5,7,1845,1988,1988,241500
630,0.0,1.0,Av,553,GLQ,77,0,None,1980.0,630,Ex,1533,21.0,0.0,0,7,5,630,1970,1970,92000
1610,0.0,3.0,Mn,1200,ALQ,410,480,RFn,1977.0,1610,Gd,10603,69.0,28.0,68,7,6,1610,1977,2001,205000
1484,0.0,3.0,Av,428,GLQ,1048,472,RFn,2006.0,1484,Ex,9037,64.0,32.0,33,5,8,1476,2006,2006,265900
955,0.0,3.0,No,0,Unf,935,462,Fin,1998.0,1632,TA,9084,63.0,0.0,28,5,7,935,1998,1998,176500
729,0.0,2.0,No,0,Unf,270,0,Unf,1980.0,729,TA,4130,56.0,0.0,0,6,3,270,1935,2003,52000
1689,0.0,3.0,No,0,Unf,1436,480,Unf,1956.0,1689,TA,9855,73.0,0.0,0,5,6,1436,1956,1956,127500
845,0.0,3.0,None,0,None,0,290,Unf,1957.0,845,TA,11500,69.0,0.0,0,3,4,0,1957,1957,84000
526,462.0,2.0,Gd,462,GLQ,0,297,Unf,1973.0,988,TA,1596,21.0,0.0,101,5,4,462,1973,1973,91000
1122,0.0,2.0,No,144,GLQ,172,528,Unf,1948.0,1122,Gd,12000,100.0,0.0,36,7,5,924,1948,2005,147000
1252,668.0,4.0,No,57,ALQ,554,451,Unf,1958.0,1920,Gd,13650,69.0,0.0,0,5,5,1052,1958,1958,172500
1221,0.0,2.0,No,410,GLQ,811,400,RFn,2004.0,1221,Gd,7500,62.0,0.0,113,5,7,1221,2004,2005,185000
716,840.0,3.0,No,81,Unf,23,452,Fin,1980.0,1556,TA,1950,24.0,0.0,0,6,6,716,1980,1980,151000
841,0.0,2.0,No,0,Unf,721,294,Unf,1950.0,841,TA,8400,60.0,0.0,0,4,4,721,1950,1950,82000
728,728.0,3.0,No,0,Unf,728,429,RFn,2006.0,1456,TA,15578,105.0,0.0,0,5,6,728,2006,2006,172785
1026,665.0,3.0,No,218,LwQ,808,308,Unf,1924.0,1691,Gd,5000,50.0,0.0,0,6,5,1026,1924,1950,127000
933,975.0,4.0,No,642,GLQ,273,493,Unf,1994.0,1908,Gd,8750,70.0,0.0,133,5,7,915,1994,1995,210000
856,854.0,3.0,No,706,GLQ,150,548,RFn,2003.0,1710,Gd,8450,65.0,196.0,61,5,7,856,2003,2003,208500
1218,0.0,2.0,No,27,GLQ,1191,676,Fin,2009.0,1218,Gd,7862,75.0,0.0,102,5,6,1218,2009,2009,208300
600,600.0,2.0,No,0,Unf,600,480,RFn,2004.0,1200,Gd,3182,30.0,0.0,172,5,7,600,2004,2005,151000
1291,1230.0,5.0,No,837,ALQ,105,576,Unf,1973.0,2521,TA,3964,42.0,0.0,20,4,6,942,1973,1973,151400
1728,0.0,4.0,No,1606,ALQ,122,560,Unf,1976.0,1728,TA,9297,63.0,0.0,0,5,5,1728,1976,1976,188000
1068,0.0,3.0,No,663,GLQ,396,264,RFn,1963.0,1068,TA,8414,70.0,0.0,0,8,6,1059,1963,2003,154500
983,767.0,4.0,Mn,660,ALQ,323,423,Unf,1989.0,1750,TA,12508,75.0,0.0,0,7,6,983,1940,1985,160000
902,808.0,3.0,No,0,Unf,576,480,Unf,1990.0,1710,TA,10300,50.0,0.0,11,6,7,576,1921,1950,140000
1208,0.0,3.0,No,767,ALQ,441,546,RFn,1977.0,1208,TA,11250,69.0,0.0,42,6,6,1208,1977,1977,165000
1314,0.0,3.0,No,24,GLQ,1290,440,RFn,2006.0,1314,Gd,9317,78.0,0.0,22,5,6,1314,2006,2006,176432
1165,0.0,3.0,Gd,312,Rec,276,490,RFn,1966.0,1165,TA,9020,82.0,183.0,129,7,6,1127,1966,1966,174900
1126,0.0,3.0,Av,767,ALQ,266,540,RFn,1977.0,1126,Ex,15611,69.0,0.0,0,6,5,1126,1977,1977,175000
1342,0.0,3.0,No,251,Rec,491,457,Unf,1967.0,1342,TA,9790,69.0,0.0,0,5,6,1372,1967,1967,161500
698,698.0,3.0,No,0,Unf,698,384,Unf,2003.0,1396,TA,8730,60.0,0.0,0,7,6,698,1915,2003,153575
1144,0.0,3.0,No,572,Rec,572,456,Unf,1961.0,1144,TA,7875,75.0,136.0,0,6,5,1144,1961,1961,139950
1137,817.0,3.0,No,341,BLQ,457,431,Unf,1939.0,1954,Gd,15660,69.0,312.0,119,9,7,798,1939,2006,311500
1694,0.0,3.0,No,0,Unf,1694,818,Fin,2007.0,1694,Gd,12030,93.0,254.0,228,5,8,1694,2007,2007,318000
1362,720.0,3.0,No,0,Unf,1362,484,Unf,2003.0,2082,Gd,11426,63.0,0.0,238,5,7,1362,2003,2003,200000
616,796.0,3.0,No,0,Unf,616,432,Fin,2007.0,1412,Gd,8499,73.0,0.0,36,5,6,616,2006,2007,156932
1501,0.0,3.0,Gd,679,GLQ,811,577,RFn,1999.0,1501,Gd,10335,78.0,183.0,29,5,7,1490,1999,1999,204000
848,0.0,1.0,Av,659,GLQ,189,420,Fin,2003.0,848,Gd,4435,36.0,170.0,0,5,6,848,2003,2003,131500
1442,0.0,3.0,Mn,738,GLQ,172,719,Fin,1990.0,1442,Gd,10357,114.0,0.0,244,5,7,910,1990,1991,179900
1095,679.0,4.0,No,0,Unf,1095,779,Unf,1920.0,1774,TA,9600,60.0,0.0,0,2,4,1095,1900,1950,87000
1163,0.0,3.0,No,256,ALQ,906,220,Unf,1955.0,1163,TA,5820,49.0,0.0,98,8,3,1162,1955,2005,126175
1505,0.0,2.0,No,1024,Unf,481,505,RFn,1953.0,1505,TA,12160,128.0,90.0,0,4,6,1505,1953,1953,149500
2217,0.0,4.0,Gd,351,ALQ,1043,621,Unf,1970.0,2217,Gd,15865,95.0,0.0,207,6,8,2217,1970,1970,268000
894,0.0,3.0,No,553,GLQ,224,336,Unf,1973.0,894,TA,8450,65.0,0.0,144,8,5,894,1965,2009,138500
1214,1306.0,4.0,No,565,GLQ,638,721,Unf,1995.0,2520,Gd,9950,82.0,290.0,114,5,7,1203,1995,1995,290000
1476,1237.0,3.0,Av,1330,GLQ,122,858,Fin,2008.0,2713,Ex,14948,67.0,268.0,66,5,9,1452,2008,2008,446261
1328,0.0,3.0,No,569,ALQ,678,528,Unf,1963.0,1328,TA,9790,69.0,451.0,26,5,6,1328,1963,1963,143000
855,586.0,3.0,No,311,ALQ,544,440,Unf,1978.0,1441,TA,2289,24.0,0.0,0,6,6,855,1978,1978,148500
