1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,SalePrice
1828,0.0,3.0,3,48,4.0,1774,774,1.0,2007.0,1828,3,11694,90.0,452.0,108,5,9,1822,2007,2007,314813
894,0.0,2.0,1,0,1.0,894,308,2.0,1962.0,894,2,6600,60.0,0.0,0,5,5,894,1962,1962,109500
964,0.0,2.0,1,713,5.0,163,432,1.0,1921.0,964,2,13360,80.0,0.0,0,7,5,876,1921,2006,163500
1689,0.0,3.0,1,1218,6.0,350,857,2.0,2002.0,1689,3,13265,69.0,148.0,59,5,8,1568,2002,2002,271000
1541,0.0,3.0,1,0,1.0,1541,843,2.0,2001.0,1541,3,13704,118.0,150.0,81,5,7,1541,2001,2002,205000
1221,0.0,2.0,1,410,6.0,811,400,2.0,2004.0,1221,3,7500,62.0,0.0,113,5,7,1221,2004,2005,185000
1324,0.0,3.0,1,643,3.0,445,440,2.0,1965.0,1324,2,8658,84.0,101.0,138,5,6,1088,1965,1965,160000
696,720.0,3.0,1,604,5.0,92,484,1.0,1999.0,1416,3,2572,24.0,0.0,44,5,7,696,1999,1999,155000
526,462.0,2.0,4,462,6.0,0,297,1.0,1973.0,988,2,1596,21.0,0.0,101,5,4,462,1973,1973,91000
869,349.0,3.0,1,375,5.0,360,440,1.0,2003.0,1218,2,6000,60.0,0.0,0,6,6,735,1941,1950,131000
760,896.0,3.0,1,0,1.0,746,397,3.0,2003.0,1656,3,6931,60.0,92.0,128,5,7,746,2003,2004,165400
1362,0.0,2.0,3,20,5.0,1342,460,2.0,2005.0,1362,3,7577,61.0,256.0,28,5,6,1362,2005,2006,194700
1051,788.0,4.0,1,0,1.0,756,442,1.0,1966.0,1839,2,7700,70.0,351.0,124,5,6,756,1966,1966,155000
1375,0.0,2.0,1,0,1.0,1367,451,1.0,1954.0,1375,2,11310,75.0,0.0,30,5,6,1367,1954,1954,140000
1122,0.0,2.0,1,144,6.0,172,528,1.0,1948.0,1122,3,12000,100.0,0.0,36,7,5,924,1948,2005,147000
1432,0.0,2.0,4,680,5.0,289,588,1.0,1978.0,1432,3,16157,69.0,0.0,180,7,5,1360,1978,1978,194000
728,728.0,3.0,3,0,1.0,728,400,3.0,2007.0,1456,3,9018,65.0,0.0,24,5,7,728,2007,2007,179540
1217,0.0,3.0,3,611,6.0,577,497,1.0,1990.0,1217,3,9947,69.0,0.0,27,5,7,1188,1990,1991,173000
1040,0.0,2.0,0,0,0.0,0,625,1.0,1950.0,1040,2,7200,60.0,0.0,0,7,5,0,1950,1950,109500
612,612.0,2.0,3,294,6.0,318,528,2.0,2009.0,1224,3,3000,30.0,76.0,234,5,6,612,2009,2009,173733
1022,752.0,2.0,1,0,1.0,952,468,1.0,1931.0,1774,2,6120,51.0,0.0,0,5,7,952,1931,1950,129900
961,406.0,4.0,1,241,3.0,229,384,1.0,1978.0,1367,2,8405,50.0,0.0,130,8,5,861,1900,1950,119000
803,557.0,2.0,1,0,1.0,803,297,2.0,1951.0,1360,3,7200,60.0,0.0,65,6,5,803,1938,1995,125500
848,0.0,1.0,3,697,6.0,151,420,2.0,2004.0,848,3,4426,69.0,147.0,0,5,6,848,2004,2004,149300
1482,780.0,3.0,4,871,6.0,611,749,3.0,2003.0,2262,3,12244,85.0,226.0,0,5,8,1482,2003,2003,305000
1220,0.0,2.0,1,836,2.0,0,396,1.0,1951.0,1220,2,8877,67.0,0.0,0,5,4,836,1951,1951,102000
1414,0.0,2.0,1,0,1.0,1375,398,3.0,2004.0,1414,3,3072,69.0,18.0,20,5,7,1375,2004,2004,178740
1134,924.0,3.0,1,319,3.0,416,396,1.0,1950.0,2058,2,9600,60.0,0.0,0,5,6,735,1917,1950,129500
1088,110.0,4.0,1,0,4.0,901,0,2.0,1979.0,1198,2,5586,60.0,0.0,98,7,6,901,1920,1998,79900
1659,0.0,2.0,1,1158,6.0,343,499,3.0,2000.0,1659,4,5664,40.0,0.0,59,5,8,1501,2000,2000,278000
1012,0.0,2.0,1,0,1.0,1012,308,1.0,1920.0,1012,2,8263,59.0,0.0,22,5,6,1012,1920,1950,118400
1687,998.0,5.0,1,523,6.0,301,672,3.0,1970.0,3082,2,15863,102.0,0.0,63,3,7,824,1920,1970,197000
1032,0.0,4.0,1,0,1.0,360,672,1.0,1999.0,1812,3,7630,76.0,0.0,0,9,5,360,1900,1996,140000
1057,872.0,3.0,1,738,4.0,319,650,3.0,2001.0,1929,3,7050,69.0,0.0,235,5,7,1057,2001,2001,226000
954,0.0,3.0,3,483,5.0,428,576,1.0,1976.0,954,2,10780,55.0,0.0,0,5,5,911,1976,1976,132500
1838,0.0,2.0,3,1260,6.0,578,765,2.0,2006.0,1838,4,14601,85.0,584.0,68,5,9,1838,2006,2006,315000
1640,0.0,3.0,1,728,4.0,568,924,1.0,1993.0,1640,3,14778,69.0,72.0,0,7,6,1296,1954,2006,224000
1148,0.0,3.0,1,1148,4.0,0,672,1.0,1959.0,1148,2,7931,70.0,0.0,0,5,5,1148,1959,1959,132500
950,0.0,3.0,1,412,4.0,251,280,1.0,1981.0,950,2,9758,61.0,0.0,0,5,5,950,1971,1971,119500
1065,846.0,3.0,1,380,4.0,397,471,2.0,1993.0,1911,3,9554,80.0,125.0,81,5,8,777,1993,1994,215000
915,720.0,3.0,1,300,3.0,765,440,1.0,1950.0,1635,2,8737,70.0,0.0,38,7,6,1065,1923,1950,210000
1316,0.0,3.0,3,0,4.0,1316,440,3.0,2007.0,1316,3,11175,103.0,0.0,20,5,7,1316,2007,2007,200141
